state,mae,rmse,max_abs_error
x,3.7186892312785397e-06,4.396299232353753e-06,7.923099162643332e-06
y,7.871763072590639e-06,9.678972055826002e-06,1.8423984757154344e-05
z,8.524373301758178e-06,9.994299598047901e-06,1.707549795293417e-05
combined_l2,1.3048894520228673e-05,1.4590955124781765e-05,2.3087864540915523e-05
